timestamp,commentid,authorid,agrees,disagrees,moderated,commentbody
1438050610425,671,15123,1,0,0,廢死並不會導致社會先進，而是先進的社會才有廢死的可能。
1438060708164,675,15123,1,0,0,簡單地將死刑視為阻擋社會正視社會問題的黑幕，讓廢死者心理製造了「認為廢除死刑就能促使社會正視社會問題」的樂觀迷思，從而高估了廢除死刑的社會效益。
1438060956506,676,15123,1,0,0,沒有任何人可剝奪其他人的生命權在多數的人權觀中常不被遵守，例如墮胎議題、國家暴力維持議題(是否維持軍隊或賦予警察開槍權)，推行廢死者應加強其人權論述，而非將生命權視為尚方寶劍。
1438061477000,677,15123,1,0,0,人同時存在想殺人、亦不想被殺的需求矛盾，目前社會亦無對殺人衝動提出實際解方，故殺人暴力才需要被社會共同控管，而死刑即是其表現，故被視為社會正義。
1438059931307,672,15123,1,0,0,將隨機殺人犯接觸的人事物視為使他成為隨機殺人犯的觀點，將使他的家人、同事、朋友被社會獵巫跟傷害，使國家陷入一個更瘋狂的狀態。
1438060067343,673,15123,1,0,0,廢死無法使社會先進，而是先進社會才有可能廢死。
1438060347657,674,15123,1,0,0,支持廢死的誤判說理論，依相同邏輯警察亦不可佩槍，不然亦有可能誤殺嫌犯。故若支持廢死，亦也要反對國家任何形式之致死暴力纔是。
1438091561350,678,15123,1,0,0,專注於死刑個案的討論無助於社會思考死刑廢存
1438091779818,679,15123,1,0,0,再有更多實證研究釐清死刑與殺人案的關係之前，我拒絕以死刑有無嚇阻力為理由支持或反對廢除死刑。
1438092119125,680,15123,1,0,0,主張生命權不可侵犯的廢死者，也應該針對其他的國家殺人或法律容許的個人殺人表達意見，例如戰爭、墮胎、處於防衛目的非不得已的殺人、為親人安樂死、放棄積極治療、為了保持器官新鮮提前認定死亡等等。
1438103450179,681,15153,1,0,0,死刑並不是對法律對犯罪者生命權的剝奪，而是國家對受刑人直接宣戰然後進行抹殺
1438107095757,683,15153,1,0,0,我感性上支持廢死，理性上支持死刑
1438105577391,682,15153,1,0,0,學習需要立即的回饋才有最好的效果，很顯然的，拖延死刑的執行 和 死刑對減少犯罪的效果不彰 之間有明顯的因果關係
1438107396143,684,15153,1,0,0,廢死與否是長年的重大社會議題，其實大多數的人是已經討論到煩了且有了決斷，只是在重大社會事件時才忍無可忍出來叫個幾聲。而非是平常並不關心。
1438107442068,685,15153,1,0,0,廢死與否是長年的重大社會議題，其實大多數的人是已經討論到煩了且有了決斷，只是在重大社會事件時才忍無可忍出來叫個幾聲。而不是新手村玩家以為的默不關心。
1438107554632,686,15153,1,0,0,人們讓渡予國家的權利並不包括生命權，但國家完全可以通過對特定人仕宣戰來達成相同的結果
1438107783326,687,15153,1,0,0,我們不相信這個國家，但如果他選擇癈止死刑我們就在這件事上相信它，實在矛盾
1433068286843,63,571,208,120,1,死刑速決隱含了「很快我們就會忘記這件事了，所以趁我們還記得你的時候趕快去死吧」的訊息
1433139439397,337,4488,1,0,0,"選擇死亡的是犯罪者自身"
1433182207559,465,9102,1,0,0,雖然擔憂台灣的監獄人滿為患，但我認為重刑(非特指死刑)有其必要性，重點在於殺人或是任何的犯罪並沒有受到可以與他所犯的罪相符的制裁，反而讓民眾覺得輕判，而假釋的存在也讓民眾覺得似乎關沒幾年就被釋放，沒有達到教化與懲罰的作用。
1433234436600,511,11387,1,0,0,"所有且唯有""人""擁有人權。"
1433488745703,632,13436,1,0,0,隨機殺人事件是為了證明自己贏過他人。
1433060704968,1,0,207,1175,1,殺人的人不對，所以我們應該把他殺死
1433060726473,2,0,246,139,1,我支持廢除死刑
1433083870767,168,2513,80,124,1,隨機殺人者視同放棄自己的人權
1433083993481,169,2562,1,0,-1,Case by case
1433084745372,170,2124,87,103,1,死刑作用是拿來威嚇用的
1433060793057,3,0,305,113,1,在有「無期徒刑，不得假釋」制度的前提下，我支持廢除死刑
1433139111107,335,4488,1,0,0,"死刑是人類歷史共識,廢死還不是"
1433135147867,305,4488,57,49,1,超級英雄都是殺人犯
1433075772788,99,1352,46,187,1,有的人就是只欠一殺。
1433089830277,222,749,134,71,1,隨機殺人不會沒有理由
1433487090464,594,13436,1,0,0,我沒有殺人的原因是因為我害怕死刑。
1433060642032,0,0,1559,41,1,無論是否有死刑，隨機殺人都還是可能發生
1433060975212,4,0,83,1361,1,會有隨機殺人事件，是因為有推動廢除死刑的人害的（雖然現在我國仍有死刑制度與執行）
1433061050510,5,0,556,205,1,"在殺人事件上，""廢死""/""反廢死""是假議題，因為目前本來就有死刑"
1433061102076,6,0,196,793,1,死刑不夠，應該用嚴刑峻法，包括鞭刑、公開槍決。
1433061543941,7,9,74,188,1,人人皆約可殺就該死嗎…
1433061792687,10,37,994,654,1,我認為死刑不是絕對的 但是現在的台灣不能廢除死刑
1433061757101,9,16,247,428,1,我支持廢除死刑，改讓死刑犯做拆炸彈、新藥開發受試者（腦科學研究、安眠藥、抗憂鬱用藥等研究優先。）、鬼屋的拆除、沙漠的綠化等工作。
1433061977508,11,71,767,72,1,"解決「隨機殺人事件」的問題和「死刑存廢 」其實是兩碼子事"
1433062469704,13,113,220,206,1,廢死只能是目標，但目前不適合
1433061616439,8,16,111,289,-1,我支持廢除死刑，另立生不如死刑。
1433062008945,12,34,670,29,1,我認為隨機殺人事件後的重點在於「災後重建」，撫平被害者家屬或者學校同學受到的心理傷害，並且避免媒體一再放送挑動激情的畫面或詞語。等一切回歸常軌在來討論議題，死刑的存廢也本來就該在平常要討論，不是等到事件發生再炒作。
1433062540248,15,104,622,77,1,到目前還沒有足夠強力的證據可以證明死刑能夠降低重刑犯罪率。
1433062538963,14,12,522,351,1,如果經實驗或統計數據證實能有效降低隨機殺人事件發生的機率，我願意支持死刑。
1433062904773,16,127,282,508,1,"如果要廢死  就要讓喪心病狂兇手的人""生不如死"""
1433062963925,17,1,437,317,1,我無法百分之百相信司法，因此不可逆的死刑必須廢除
1433063028860,18,68,562,75,1,死刑無法嚇止那些怯於自殺，遂以隨機殺人達成讓司法處刑目的之殺人者。
1433063291187,19,104,312,131,1,執行死刑和解決造成重刑案的社會問題不衝突。
