Line,Speaker,Text,Date
1,Holt,"Good evening from Hofstra University in Hempstead, New York. I'm Lester Holt, anchor of ""NBC Nightly News."" I want to welcome you to the first presidential debate. The participants tonight are Donald Trump and Hillary Clinton. This debate is sponsored by the Commission on Presidential Debates, a nonpartisan, nonprofit organization. The commission drafted tonight's format, and the rules have been agreed to by the campaigns. The 90-minute debate is divided into six segments, each 15 minutes long. We'll explore three topic areas tonight: Achieving prosperity; America's direction; and securing America. At the start of each segment, I will ask the same lead-off question to both candidates, and they will each have up to two minutes to respond. From that point until the end of the segment, we'll have an open discussion. The questions are mine and have not been shared with the commission or the campaigns. The audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying. I will invite you to applaud, however, at this moment, as we welcome the candidates: Democratic nominee for president of the United States, Hillary Clinton, and Republican nominee for president of the United States, Donald J. Trump.",2016-09-26
2,Audience,(APPLAUSE),2016-09-26
3,Clinton,"How are you, Donald?",2016-09-26
4,Audience,(APPLAUSE),2016-09-26
5,Holt,Good luck to you.,2016-09-26
6,Audience,(APPLAUSE),2016-09-26
7,Holt,"Well, I don't expect us to cover all the issues of this campaign tonight, but I remind everyone, there are two more presidential debates scheduled. We are going to focus on many of the issues that voters tell us are most important, and we're going to press for specifics. I am honored to have this role, but this evening belongs to the candidates and, just as important, to the American people. Candidates, we look forward to hearing you articulate your policies and your positions, as well as your visions and your values. So, let's begin. We're calling this opening segment ""Achieving Prosperity."" And central to that is jobs. There are two economic realities in America today. There's been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation. However, income inequality remains significant, and nearly half of Americans are living paycheck to paycheck. Beginning with you, Secretary Clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American works?",2016-09-26
8,Clinton,"Well, thank you, Lester, and thanks to Hofstra for hosting us. The central question in this election is really what kind of country we want to be and what kind of future we'll build together. Today is my granddaughter's second birthday, so I think about this a lot. First, we have to build an economy that works for everyone, not just those at the top. That means we need new jobs, good jobs, with rising incomes. I want us to invest in you. I want us to invest in your future. That means jobs in infrastructure, in advanced manufacturing, innovation and technology, clean, renewable energy, and small business, because most of the new jobs will come from small business. We also have to make the economy fairer. That starts with raising the national minimum wage and also guarantee, finally, equal pay for women's work.",2016-09-26
9,Clinton,"I also want to see more companies do profit-sharing. If you help create the profits, you should be able to share in them, not just the executives at the top. And I want us to do more to support people who are struggling to balance family and work. I've heard from so many of you about the difficult choices you face and the stresses that you're under. So let's have paid family leave, earned sick days. Let's be sure we have affordable child care and debt-free college. How are we going to do it? We're going to do it by having the wealthy pay their fair share and close the corporate loopholes. Finally, we tonight are on the stage together, Donald Trump and I. Donald, it's good to be with you. We're going to have a debate where we are talking about the important issues facing our country. You have to judge us, who can shoulder the immense, awesome responsibilities of the presidency, who can put into action the plans that will make your life better. I hope that I will be able to earn your vote on November 8th.",2016-09-26
10,Holt,"Secretary Clinton, thank you. Mr. Trump, the same question to you. It's about putting money -- more money into the pockets of American workers. You have up to two minutes.",2016-09-26
11,Trump,"Thank you, Lester. Our jobs are fleeing the country. They're going to Mexico. They're going to many other countries. You look at what China is doing to our country in terms of making our product. They're devaluing their currency, and there's nobody in our government to fight them. And we have a very good fight. And we have a winning fight. Because they're using our country as a piggy bank to rebuild China, and many other countries are doing the same thing. So we're losing our good jobs, so many of them. When you look at what's happening in Mexico, a friend of mine who builds plants said it's the eighth wonder of the world. They're building some of the biggest plants anywhere in the world, some of the most sophisticated, some of the best plants. With the United States, as he said, not so much. So Ford is leaving. You see that, their small car division leaving. Thousands of jobs leaving Michigan, leaving Ohio. They're all leaving. And we can't allow it to happen anymore. As far as child care is concerned and so many other things, I think Hillary and I agree on that. We probably disagree a little bit as to numbers and amounts and what we're going to do, but perhaps we'll be talking about that later. But we have to stop our jobs from being stolen from us. We have to stop our companies from leaving the United States and, with it, firing all of their people. All you have to do is take a look at Carrier air conditioning in Indianapolis. They left -- fired 1,400 people. They're going to Mexico. So many hundreds and hundreds of companies are doing this.",2016-09-26
12,Trump,"We cannot let it happen. Under my plan, I'll be reducing taxes tremendously, from 35 percent to 15 percent for companies, small and big businesses. That's going to be a job creator like we haven't seen since Ronald Reagan. It's going to be a beautiful thing to watch. Companies will come. They will build. They will expand. New companies will start. And I look very, very much forward to doing it. We have to renegotiate our trade deals, and we have to stop these countries from stealing our companies and our jobs.",2016-09-26
13,Holt,"Secretary Clinton, would you like to respond?",2016-09-26
14,Clinton,"Well, I think that trade is an important issue. Of course, we are 5 percent of the world's population; we have to trade with the other 95 percent. And we need to have smart, fair trade deals. We also, though, need to have a tax system that rewards work and not just financial transactions. And the kind of plan that Donald has put forth would be trickle-down economics all over again. In fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than we've ever had. I call it trumped-up trickle-down, because that's exactly what it would be. That is not how we grow the economy. We just have a different view about what's best for growing the economy, how we make investments that will actually produce jobs and rising incomes. I think we come at it from somewhat different perspectives. I understand that. You know, Donald was very fortunate in his life, and that's all to his benefit. He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we'll be and that everything will work out from there. I don't buy that. I have a different experience. My father was a small-businessman. He worked really hard. He printed drapery fabrics on long tables, where he pulled out those fabrics and he went down with a silkscreen and dumped the paint in and took the squeegee and kept going. And so what I believe is the more we can do for the middle class, the more we can invest in you, your education, your skills, your future, the better we will be off and the better we'll grow. That's the kind of economy I want us to see again.",2016-09-26
15,Holt,"Let me follow up with Mr. Trump, if you can. You've talked about creating 25 million jobs, and you've promised to bring back millions of jobs for Americans. How are you going to bring back the industries that have left this country for cheaper labor overseas? How, specifically, are you going to tell American manufacturers that you have to come back?",2016-09-26
16,Trump,"Well, for one thing -- and before we start on that -- my father gave me a very small loan in 1975, and I built it into a company that's worth many, many billions of dollars, with some of the greatest assets in the world, and I say that only because that's the kind of thinking that our country needs. Our country's in deep trouble. We don't know what we're doing when it comes to devaluations and all of these countries all over the world, especially China. They're the best, the best ever at it. What they're doing to us is a very, very sad thing. So we have to do that. We have to renegotiate our trade deals. And, Lester, they're taking our jobs, they're giving incentives, they're doing things that, frankly, we don't do. Let me give you the example of Mexico. They have a VAT tax. We're on a different system. When we sell into Mexico, there's a tax. When they sell in -- automatic, 16 percent, approximately. When they sell into us, there's no tax. It's a defective agreement. It's been defective for a long time, many years, but the politicians haven't done anything about it. Now, in all fairness to Secretary Clinton -- yes, is that OK? Good. I want you to be very happy. It's very important to me. But in all fairness to Secretary Clinton, when she started talking about this, it was really very recently. She's been doing this for 30 years. And why hasn't she made the agreements better? The NAFTA agreement is defective. Just because of the tax and many other reasons, but just because of the fact...",2016-09-26
17,Holt,"Let me interrupt just a moment, but...",2016-09-26
18,Trump,"Secretary Clinton and others, politicians, should have been doing this for years, not right now, because of the fact that we've created a movement. They should have been doing this for years. What's happened to our jobs and our country and our economy generally is -- look, we owe $20 trillion. We cannot do it any longer, Lester.",2016-09-26
19,Holt,"Back to the question, though. How do you bring back -- specifically bring back jobs, American manufacturers? How do you make them bring the jobs back?",2016-09-26
20,Trump,"Well, the first thing you do is don't let the jobs leave. The companies are leaving. I could name, I mean, there are thousands of them. They're leaving, and they're leaving in bigger numbers than ever. And what you do is you say, fine, you want to go to Mexico or some other country, good luck. We wish you a lot of luck. But if you think you're going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax, you're wrong. And once you say you're going to have to tax them coming in, and our politicians never do this, because they have special interests and the special interests want those companies to leave, because in many cases, they own the companies. So what I'm saying is, we can stop them from leaving. We have to stop them from leaving. And that's a big, big factor.",2016-09-26
21,Holt,Let me let Secretary Clinton get in here.,2016-09-26
22,Clinton,"Well, let's stop for a second and remember where we were eight years ago. We had the worst financial crisis, the Great Recession, the worst since the 1930s. That was in large part because of tax policies that slashed taxes on the wealthy, failed to invest in the middle class, took their eyes off of Wall Street, and created a perfect storm. In fact, Donald was one of the people who rooted for the housing crisis. He said, back in 2006, ""Gee, I hope it does collapse, because then I can go in and buy some and make some money."" Well, it did collapse.",2016-09-26
23,Trump,"That's called business, by the way.",2016-09-26
24,Clinton,"Nine million people -- nine million people lost their jobs. Five million people lost their homes. And $13 trillion in family wealth was wiped out. Now, we have come back from that abyss. And it has not been easy. So we're now on the precipice of having a potentially much better economy, but the last thing we need to do is to go back to the policies that failed us in the first place. Independent experts have looked at what I've proposed and looked at what Donald's proposed, and basically they've said this, that if his tax plan, which would blow up the debt by over $5 trillion and would in some instances disadvantage middle-class families compared to the wealthy, were to go into effect, we would lose 3.5 million jobs and maybe have another recession. They've looked at my plans and they've said, OK, if we can do this, and I intend to get it done, we will have 10 million more new jobs, because we will be making investments where we can grow the economy. Take clean energy. Some country is going to be the clean- energy superpower of the 21st century. Donald thinks that climate change is a hoax perpetrated by the Chinese. I think it's real.",2016-09-26
25,Trump,I did not. I did not. I do not say that.,2016-09-26
26,Clinton,I think science is real.,2016-09-26
27,Trump,I do not say that.,2016-09-26
28,Clinton,"And I think it's important that we grip this and deal with it, both at home and abroad. And here's what we can do. We can deploy a half a billion more solar panels. We can have enough clean energy to power every home. We can build a new modern electric grid. That's a lot of jobs; that's a lot of new economic activity. So I've tried to be very specific about what we can and should do, and I am determined that we're going to get the economy really moving again, building on the progress we've made over the last eight years, but never going back to what got us in trouble in the first place.",2016-09-26
29,Holt,Mr. Trump?,2016-09-26
30,Trump,"She talks about solar panels. We invested in a solar company, our country. That was a disaster. They lost plenty of money on that one. Now, look, I'm a great believer in all forms of energy, but we're putting a lot of people out of work. Our energy policies are a disaster. Our country is losing so much in terms of energy, in terms of paying off our debt. You can't do what you're looking to do with $20 trillion in debt. The Obama administration, from the time they've come in, is over 230 years' worth of debt, and he's topped it. He's doubled it in a course of almost eight years, seven-and-a-half years, to be semi- exact. So I will tell you this. We have to do a much better job at keeping our jobs. And we have to do a much better job at giving companies incentives to build new companies or to expand, because they're not doing it. And all you have to do is look at Michigan and look at Ohio and look at all of these places where so many of their jobs and their companies are just leaving, they're gone. And, Hillary, I'd just ask you this. You've been doing this for 30 years. Why are you just thinking about these solutions right now? For 30 years, you've been doing it, and now you're just starting to think of solutions.",2016-09-26
31,Clinton,"Well, actually...",2016-09-26
32,Trump,I will bring -- excuse me. I will bring back jobs. You can't bring back jobs.,2016-09-26
33,Clinton,"Well, actually, I have thought about this quite a bit.",2016-09-26
34,Trump,"Yeah, for 30 years.",2016-09-26
35,Clinton,"And I have -- well, not quite that long. I think my husband did a pretty good job in the 1990s. I think a lot about what worked and how we can make it work again...",2016-09-26
36,Trump,"Well, he approved NAFTA...",2016-09-26
37,CANDIDATES,(CROSSTALK),2016-09-26
38,Clinton,"... million new jobs, a balanced budget...",2016-09-26
39,Trump,"He approved NAFTA, which is the single worst trade deal ever approved in this country.",2016-09-26
40,Clinton,"Incomes went up for everybody. Manufacturing jobs went up also in the 1990s, if we're actually going to look at the facts. When I was in the Senate, I had a number of trade deals that came before me, and I held them all to the same test. Will they create jobs in America? Will they raise incomes in America? And are they good for our national security? Some of them I voted for. The biggest one, a multinational one known as CAFTA, I voted against. And because I hold the same standards as I look at all of these trade deals. But let's not assume that trade is the only challenge we have in the economy. I think it is a part of it, and I've said what I'm going to do. I'm going to have a special prosecutor. We're going to enforce the trade deals we have, and we're going to hold people accountable. When I was secretary of state, we actually increased American exports globally 30 percent. We increased them to China 50 percent. So I know how to really work to get new jobs and to get exports that helped to create more new jobs.",2016-09-26
41,Holt,Very quickly...,2016-09-26
42,Trump,But you haven't done it in 30 years or 26 years or any number you want to...,2016-09-26
43,Clinton,"Well, I've been a senator, Donald...",2016-09-26
44,Trump,You haven't done it. You haven't done it.,2016-09-26
45,Clinton,And I have been a secretary of state...,2016-09-26
46,Trump,Excuse me.,2016-09-26
47,Clinton,And I have done a lot...,2016-09-26
48,Trump,"Your husband signed NAFTA, which was one of the worst things that ever happened to the manufacturing industry.",2016-09-26
49,Clinton,"Well, that's your opinion. That is your opinion.",2016-09-26
50,Trump,"You go to New England, you go to Ohio, Pennsylvania, you go anywhere you want, Secretary Clinton, and you will see devastation where manufacture is down 30, 40, sometimes 50 percent. NAFTA is the worst trade deal maybe ever signed anywhere, but certainly ever signed in this country. And now you want to approve Trans-Pacific Partnership. You were totally in favor of it. Then you heard what I was saying, how bad it is, and you said, I can't win that debate. But you know that if you did win, you would approve that, and that will be almost as bad as NAFTA. Nothing will ever top NAFTA.",2016-09-26
51,Clinton,"Well, that is just not accurate. I was against it once it was finally negotiated and the terms were laid out. I wrote about that in...",2016-09-26
52,Trump,You called it the gold standard.,2016-09-26
53,CANDIDATES,(CROSSTALK),2016-09-26
54,Trump,You called it the gold standard of trade deals. You said it's the finest deal you've ever seen.,2016-09-26
55,Clinton,No.,2016-09-26
56,Trump,"And then you heard what I said about it, and all of a sudden you were against it.",2016-09-26
57,Clinton,"Well, Donald, I know you live in your own reality, but that is not the facts. The facts are -- I did say I hoped it would be a good deal, but when it was negotiated...",2016-09-26
58,Trump,Not.,2016-09-26
59,Clinton,"... which I was not responsible for, I concluded it wasn't. I wrote about that in my book...",2016-09-26
60,Trump,So is it President Obama's fault?,2016-09-26
61,Clinton,... before you even announced.,2016-09-26
62,Trump,Is it President Obama's fault?,2016-09-26
63,Clinton,"Look, there are differences...",2016-09-26
64,Trump,"Secretary, is it President Obama's fault?",2016-09-26
65,Clinton,There are...,2016-09-26
66,Trump,Because he's pushing it.,2016-09-26
67,Clinton,"There are different views about what's good for our country, our economy, and our leadership in the world. And I think it's important to look at what we need to do to get the economy going again. That's why I said new jobs with rising incomes, investments, not in more tax cuts that would add $5 trillion to the debt.",2016-09-26
68,Trump,But you have no plan.,2016-09-26
69,Clinton,"But in -- oh, but I do.",2016-09-26
70,Trump,"Secretary, you have no plan.",2016-09-26
71,Clinton,"In fact, I have written a book about it. It's called ""Stronger Together."" You can pick it up tomorrow at a bookstore...",2016-09-26
72,Trump,That's about all you've...,2016-09-26
73,CANDIDATES,(CROSSTALK),2016-09-26
74,Holt,"Folks, we're going to...",2016-09-26
75,Clinton,... or at an airport near you.,2016-09-26
76,Holt,We're going to move to...,2016-09-26
77,Clinton,"But it's because I see this -- we need to have strong growth, fair growth, sustained growth. We also have to look at how we help families balance the responsibilities at home and the responsibilities at business. So we have a very robust set of plans. And people have looked at both of our plans, have concluded that mine would create 10 million jobs and yours would lose us 3.5 million jobs, and explode the debt which would have a recession.",2016-09-26
78,Trump,"You are going to approve one of the biggest tax cuts in history. You are going to approve one of the biggest tax increases in history. You are going to drive business out. Your regulations are a disaster, and you're going to increase regulations all over the place. And by the way, my tax cut is the biggest since Ronald Reagan. I'm very proud of it. It will create tremendous numbers of new jobs. But regulations, you are going to regulate these businesses out of existence. When I go around -- Lester, I tell you this, I've been all over. And when I go around, despite the tax cut, the thing -- the things that business as in people like the most is the fact that I'm cutting regulation. You have regulations on top of regulations, and new companies cannot form and old companies are going out of business. And you want to increase the regulations and make them even worse. I'm going to cut regulations. I'm going to cut taxes big league, and you're going to raise taxes big league, end of story.",2016-09-26
79,Holt,"Let me get you to pause right there, because we're going to move into -- we're going to move into the next segment. We're going to talk taxes...",2016-09-26
80,Clinton,That can't -- that can't be left to stand.,2016-09-26
81,Holt,Please just take 30 seconds and then we're going to go on.,2016-09-26
82,Clinton,"I kind of assumed that there would be a lot of these charges and claims, and so...",2016-09-26
83,Trump,Facts.,2016-09-26
84,Clinton,"So we have taken the home page of my website, HillaryClinton.com, and we've turned it into a fact-checker. So if you want to see in real-time what the facts are, please go and take a look. Because what I have proposed...",2016-09-26
85,Trump,"And take a look at mine, also, and you'll see.",2016-09-26
86,Clinton,"... would not add a penny to the debt, and your plans would add $5 trillion to the debt. What I have proposed would cut regulations and streamline them for small businesses. What I have proposed would be paid for by raising taxes on the wealthy, because they have made all the gains in the economy. And I think it's time that the wealthy and corporations paid their fair share to support this country.",2016-09-26
87,Holt,"Well, you just opened the next segment.",2016-09-26
88,Trump,"Well, could I just finish -- I think I...",2016-09-26
89,CANDIDATES,(CROSSTALK),2016-09-26
90,Holt,I'm going to give you a chance right here...,2016-09-26
91,Trump,"I think I should -- you go to her website, and you take a look at her website.",2016-09-26
92,Holt,... with a new 15-minute segment...,2016-09-26
93,Trump,She's going to raise taxes $1.3 trillion.,2016-09-26
94,Holt,"Mr. Trump, I'm going to...",2016-09-26
95,Trump,And look at her website. You know what? It's no difference than this. She's telling us how to fight ISIS. Just go to her website. She tells you how to fight ISIS on her website. I don't think General Douglas MacArthur would like that too much.,2016-09-26
96,Holt,"The next segment, we're continuing...",2016-09-26
97,Clinton,"Well, at least I have a plan to fight ISIS.",2016-09-26
98,Holt,... achieving prosperity...,2016-09-26
99,Trump,"No, no, you're telling the enemy everything you want to do.",2016-09-26
100,Clinton,"No, we're not. No, we're not.",2016-09-26
101,Trump,"See, you're telling the enemy everything you want to do. No wonder you've been fighting -- no wonder you've been fighting ISIS your entire adult life.",2016-09-26
102,Clinton,"That's a -- that's -- go to the -- please, fact checkers, get to work.",2016-09-26
103,Holt,"OK, you are unpacking a lot here. And we're still on the issue of achieving prosperity. And I want to talk about taxes. The fundamental difference between the two of you concerns the wealthy. Secretary Clinton, you're calling for a tax increase on the wealthiest Americans. I'd like you to further defend that. And, Mr. Trump, you're calling for tax cuts for the wealthy. I'd like you to defend that. And this next two-minute answer goes to you, Mr. Trump.",2016-09-26
104,Trump,"Well, I'm really calling for major jobs, because the wealthy are going create tremendous jobs. They're going to expand their companies. They're going to do a tremendous job. I'm getting rid of the carried interest provision. And if you really look, it's not a tax -- it's really not a great thing for the wealthy. It's a great thing for the middle class. It's a great thing for companies to expand. And when these people are going to put billions and billions of dollars into companies, and when they're going to bring $2.5 trillion back from overseas, where they can't bring the money back, because politicians like Secretary Clinton won't allow them to bring the money back, because the taxes are so onerous, and the bureaucratic red tape, so what -- is so bad. So what they're doing is they're leaving our country, and they're, believe it or not, leaving because taxes are too high and because some of them have lots of money outside of our country. And instead of bringing it back and putting the money to work, because they can't work out a deal to -- and everybody agrees it should be brought back. Instead of that, they're leaving our country to get their money, because they can't bring their money back into our country, because of bureaucratic red tape, because they can't get together. Because we have -- we have a president that can't sit them around a table and get them to approve something. And here's the thing. Republicans and Democrats agree that this should be done, $2.5 trillion. I happen to think it's double that. It's probably $5 trillion that we can't bring into our country, Lester. And with a little leadership, you'd get it in here very quickly, and it could be put to use on the inner cities and lots of other things, and it would be beautiful. But we have no leadership. And honestly, that starts with Secretary Clinton.",2016-09-26
105,Holt,"All right. You have two minutes of the same question to defend tax increases on the wealthiest Americans, Secretary Clinton.",2016-09-26
106,Clinton,"I have a feeling that by, the end of this evening, I'm going to be blamed for everything that's ever happened.",2016-09-26
107,Trump,Why not?,2016-09-26
108,Clinton,"Why not? Yeah, why not?",2016-09-26
109,Audience,(LAUGHTER),2016-09-26
110,Clinton,"You know, just join the debate by saying more crazy things. Now, let me say this, it is absolutely the case...",2016-09-26
111,Trump,There's nothing crazy about not letting our companies bring their money back into their country.,2016-09-26
112,Holt,"This is -- this is Secretary Clinton's two minutes, please.",2016-09-26
113,Trump,Yes.,2016-09-26
114,Clinton,"Yeah, well, let's start the clock again, Lester. We've looked at your tax proposals. I don't see changes in the corporate tax rates or the kinds of proposals you're referring to that would cause the repatriation, bringing back of money that's stranded overseas. I happen to support that.",2016-09-26
115,Trump,Then you didn't read it.,2016-09-26
116,Clinton,"I happen to -- I happen to support that in a way that will actually work to our benefit. But when I look at what you have proposed, you have what is called now the Trump loophole, because it would so advantage you and the business you do. You've proposed an approach that has a...",2016-09-26
117,Trump,Who gave it that name? The first I've -- who gave it that name?,2016-09-26
118,CANDIDATES,(CROSSTALK),2016-09-26
