"Stimulus"	"Subject"	"Comment"
"1"	"Cinéma"	55	"a bit strong;intensity of different notes;fruity;flower"
"2"	"Coco Mademoiselle"	95	"acidic"
"3"	"Pure Poison"	95	"acidic"
"4"	"Pleasures"	95	"acidic"
"5"	"Chanel N5"	95	"acidic"
"6"	"J'adore ET"	77	"adult"
"7"	"Coco Mademoiselle"	77	"adult"
"8"	"L'instant"	77	"adult"
"9"	"Pleasures"	77	"adult"
"10"	"Cinéma"	17	"aggressive"
"11"	"Shalimar"	74	"aggressive"
"12"	"Angel"	74	"aggressive"
"13"	"Shalimar"	20	"aggressive;medicinal"
"14"	"Aromatics Elixir"	20	"aggressive;medicinal"
"15"	"Angel"	20	"aggressive;medicinal"
"16"	"Shalimar"	21	"aggressive;mint peppery"
"17"	"Aromatics Elixir"	21	"aggressive;mint peppery"
"18"	"Shalimar"	78	"aggressive;strong;elderly"
"19"	"Aromatics Elixir"	78	"aggressive;strong;elderly"
"20"	"Chanel N5"	78	"aggressive;strong;elderly"
"21"	"Angel"	78	"aggressive;strong;elderly"
"22"	"Shalimar"	9	"alcohol"
"23"	"Angel"	26	"alcohol"
"24"	"Angel"	54	"alcohol"
"25"	"Pure Poison"	64	"alcohol"
"26"	"Aromatics Elixir"	67	"alcohol;disinfectant"
"27"	"Shalimar"	39	"alcohol;intense"
"28"	"Pure Poison"	90	"amber"
"29"	"Pure Poison"	57	"amber;intense;old;elderly"
"30"	"Shalimar"	57	"amber;intense;old;elderly"
"31"	"Aromatics Elixir"	57	"amber;intense;old;elderly"
"32"	"Shalimar"	10	"ancient;spicy;sensual;brut;black pepper"
"33"	"Aromatics Elixir"	10	"ancient;spicy;sensual;brut;black pepper"
"34"	"Angel"	10	"ancient;very spicy;sensual;brut;black pepper"
"35"	"Angel"	23	"Angel"
"36"	"Angel"	35	"angel"
"37"	"Aromatics Elixir"	16	"artificial"
"38"	"Shalimar"	16	"artificial;candy"
"39"	"J'adore EP"	16	"artificial;grand mother"
"40"	"Angel"	16	"artificial;rose"
"41"	"Pure Poison"	3	"baby"
"42"	"Pleasures"	32	"banal;shower gel"
"43"	"Coco Mademoiselle"	67	"banana"
"44"	"Lolita Lempicka"	90	"banana"
"45"	"Pleasures"	81	"banana;fruity"
"46"	"Lolita Lempicka"	34	"bewitching"
"47"	"Angel"	75	"bitter"
"48"	"Cinéma"	88	"bitterness"
"49"	"Shalimar"	88	"bitterness"
"50"	"Cinéma"	3	"black pepper"
"51"	"Angel"	9	"black pepper"
"52"	"Shalimar"	73	"black pepper"
"53"	"Angel"	73	"black pepper"
"54"	"Angel"	11	"black pepper;spicy"
"55"	"J'adore ET"	11	"bubble;shampoo;soap;mossy"
"56"	"J'adore EP"	11	"bubble;shampoo;soap;mossy"
"57"	"Coco Mademoiselle"	11	"bubble;shampoo;soap;mossy"
"58"	"Pleasures"	11	"bubble;shampoo;soap;mossy"
"59"	"J'adore EP"	63	"businessman"
"60"	"Angel"	97	"camphor;medicine"
"61"	"L'instant"	3	"candy"
"62"	"L'instant"	62	"candy"
"63"	"Lolita Lempicka"	79	"candy;fruity"
"64"	"L'instant"	35	"candy;itch the nose"
"65"	"Lolita Lempicka"	80	"candy;sweet"
"66"	"Angel"	36	"candy;teddybear"
"67"	"Pure Poison"	67	"caramel"
"68"	"Cinéma"	36	"caramel flower"
"69"	"L'instant"	32	"caramelized;strong"
"70"	"Aromatics Elixir"	17	"catchy"
"71"	"Shalimar"	24	"chanel n5"
"72"	"L'instant"	22	"character"
"73"	"Pleasures"	22	"character"
"74"	"Aromatics Elixir"	15	"chemical product"
"75"	"L'instant"	80	"childish"
"76"	"Shalimar"	80	"childish"
"77"	"Coco Mademoiselle"	9	"citrus"
"78"	"Cinéma"	42	"citrus"
"79"	"Shalimar"	42	"citrus"
"80"	"Aromatics Elixir"	42	"citrus"
"81"	"Coco Mademoiselle"	72	"classic;strong"
"82"	"Aromatics Elixir"	1	"cleaning product"
"83"	"Aromatics Elixir"	23	"cleaning product"
"84"	"Aromatics Elixir"	3	"cologne"
"85"	"Chanel N5"	3	"cologne"
"86"	"Aromatics Elixir"	13	"cologne"
"87"	"Aromatics Elixir"	33	"cologne"
"88"	"Shalimar"	36	"cologne"
"89"	"Aromatics Elixir"	32	"cologne;strong"
"90"	"J'adore ET"	18	"concentrated"
"91"	"Pleasures"	18	"concentrated"
"92"	"Angel"	18	"concentrated;sickening"
"93"	"Chanel N5"	18	"concentrated;soap"
"94"	"Shalimar"	34	"cough syrup"
"95"	"Pure Poison"	30	"deodorant"
"96"	"Pleasures"	63	"deodorant;toilet;luxurious hotel"
"97"	"Chanel N5"	4	"despleasant"
"98"	"L'instant"	72	"different"
"99"	"Angel"	1	"digestive;pharmaceutical"
"100"	"Cinéma"	11	"discrete"
"101"	"J'adore ET"	36	"discrete"
"102"	"Coco Mademoiselle"	36	"discrete"
"103"	"L'instant"	36	"discrete"
"104"	"J'adore ET"	64	"discrete"
"105"	"Cinéma"	64	"discrete"
"106"	"Pleasures"	99	"discrete"
"107"	"L'instant"	52	"discrete;eau de toilette"
"108"	"J'adore ET"	40	"discrete;flowery;soft;fresh"
"109"	"Coco Mademoiselle"	40	"discrete;flowery;soft;fresh"
"110"	"Pure Poison"	40	"discrete;flowery;soft;fresh"
"111"	"Pleasures"	40	"discrete;flowery;soft;fresh"
"112"	"Pure Poison"	52	"discrete;fruity"
"113"	"Cinéma"	98	"discrete;light;vanilla"
"114"	"L'instant"	98	"discrete;light;vanilla"
"115"	"Coco Mademoiselle"	99	"discrete;pleasant"
"116"	"Coco Mademoiselle"	33	"discrete;warm;warm"
"117"	"Pleasures"	3	"disinfectant"
"118"	"Chanel N5"	33	"disinfectant"
"119"	"Pleasures"	34	"disinfectant"
"120"	"Chanel N5"	63	"disinfectant;public toilets"
"121"	"Shalimar"	52	"eau de toilette"
"122"	"Chanel N5"	1	"elderly"
"123"	"J'adore ET"	10	"ephemeral;fruity"
"124"	"J'adore EP"	10	"ephemeral;fruity"
"125"	"Coco Mademoiselle"	10	"ephemeral;fruity"
"126"	"Pure Poison"	10	"ephemeral;fruity"
"127"	"Angel"	33	"fatty;bewitching;strong"
"128"	"J'adore EP"	81	"female"
"129"	"Cinéma"	81	"female;fresh"
"130"	"Aromatics Elixir"	52	"female;heady;classic;old"
"131"	"Lolita Lempicka"	81	"female;sophisticated;light"
"132"	"L'instant"	81	"female;sophisticated;light"
"133"	"Pleasures"	89	"field flower;sun"
"134"	"Shalimar"	19	"flavored"
"135"	"Aromatics Elixir"	19	"flavored"
"136"	"Chanel N5"	19	"flavored"
"137"	"J'adore EP"	14	"flower"
"138"	"Pure Poison"	71	"flower"
"139"	"Lolita Lempicka"	71	"flower"
"140"	"Angel"	71	"flower"
"141"	"Pure Poison"	80	"flower"
"142"	"J'adore EP"	36	"flower in toilets"
"143"	"Pleasures"	33	"flower;daisy"
"144"	"Coco Mademoiselle"	1	"flowery"
"145"	"Pure Poison"	1	"flowery"
"146"	"J'adore ET"	6	"flowery"
"147"	"J'adore EP"	6	"flowery"
"148"	"Coco Mademoiselle"	6	"flowery"
"149"	"Pure Poison"	6	"flowery"
"150"	"Pleasures"	6	"flowery"
"151"	"J'adore ET"	15	"flowery"
"152"	"Cinéma"	16	"flowery"
"153"	"Chanel N5"	21	"flowery"
"154"	"Pleasures"	26	"flowery"
"155"	"Pure Poison"	34	"flowery"
"156"	"J'adore ET"	42	"flowery"
"157"	"Coco Mademoiselle"	42	"flowery"
"158"	"Pleasures"	42	"flowery"
"159"	"Pure Poison"	51	"flowery"
"160"	"Cinéma"	51	"flowery"
"161"	"Pleasures"	51	"flowery"
"162"	"Pleasures"	54	"flowery"
"163"	"J'adore ET"	56	"flowery"
"164"	"Coco Mademoiselle"	56	"flowery"
"165"	"Pure Poison"	56	"flowery"
"166"	"L'instant"	56	"flowery"
"167"	"Pleasures"	56	"flowery"
"168"	"J'adore ET"	57	"flowery"
"169"	"J'adore EP"	57	"flowery"
"170"	"L'instant"	57	"flowery"
"171"	"Pleasures"	57	"flowery"
"172"	"Chanel N5"	57	"flowery"
"173"	"Pleasures"	66	"flowery"
"174"	"J'adore ET"	68	"flowery"
"175"	"Lolita Lempicka"	68	"flowery"
"176"	"Pleasures"	68	"flowery"
"177"	"J'adore ET"	80	"flowery"
"178"	"Cinéma"	90	"flowery"
"179"	"Pleasures"	92	"flowery"
"180"	"L'instant"	94	"flowery"
"181"	"J'adore ET"	95	"flowery"
"182"	"J'adore EP"	95	"flowery"
"183"	"Cinéma"	95	"flowery"
"184"	"J'adore EP"	97	"flowery"
"185"	"Cinéma"	97	"flowery"
"186"	"L'instant"	97	"flowery"
"187"	"Aromatics Elixir"	97	"flowery"
"188"	"Coco Mademoiselle"	100	"flowery"
"189"	"Chanel N5"	92	"flowery;Chanel"
"190"	"Lolita Lempicka"	18	"flowery;concentrated"
"191"	"Pleasures"	52	"flowery;discrete;natural"
"192"	"Pleasures"	21	"flowery;flowery"
"193"	"J'adore EP"	7	"flowery;fresh"
"194"	"Pleasures"	79	"flowery;freshness"
"195"	"Cinéma"	6	"flowery;lemony"
"196"	"L'instant"	6	"flowery;lemony"
"197"	"Coco Mademoiselle"	2	"flowery;light"
"198"	"J'adore ET"	7	"flowery;light"
"199"	"J'adore EP"	69	"flowery;light"
"200"	"Pure Poison"	69	"flowery;light"
"201"	"Cinéma"	69	"flowery;light"
"202"	"J'adore ET"	98	"flowery;light"
"203"	"J'adore EP"	98	"flowery;light"
"204"	"Pure Poison"	98	"flowery;light"
"205"	"Pleasures"	98	"flowery;light"
"206"	"Coco Mademoiselle"	92	"flowery;light;black pepper"
"207"	"J'adore ET"	92	"flowery;light;Yves Rocher"
"208"	"J'adore EP"	92	"flowery;lily of the valley;light"
"209"	"Cinéma"	41	"flowery;short in nose"
"210"	"Pleasures"	17	"flowery;soft"
"211"	"J'adore ET"	78	"flowery;soft;pleasant;discrete"
"212"	"J'adore EP"	78	"flowery;soft;pleasant;discrete"
"213"	"Pure Poison"	78	"flowery;soft;pleasant;discrete"
"214"	"Cinéma"	78	"flowery;soft;pleasant;discrete"
"215"	"Pleasures"	78	"flowery;soft;pleasant;discrete"
"216"	"J'adore ET"	27	"flowery;spicy"
"217"	"J'adore EP"	27	"flowery;spicy"
"218"	"Pure Poison"	27	"flowery;spicy"
"219"	"Aromatics Elixir"	27	"flowery;spicy"
